text,label
Thằng ngốc,1
Rất hân hạnh phục vụ đấy,0
Cút khỏi đây thật,1
Thật đáng ghét!!,1
Đồ khốn!!,1
Cút đi,1
Chúc bạn cuối tuần vui vẻ...,0
Đồ mất dạy quá,1
Đồ ăn hại!,1
Tao ghét mày!,1
Đồ mất dạy luôn,1
Đồ khốn đấy,1
Im mồm đi,1
Chúc bạn thành công thật,0
Tôi sẽ kiểm tra giúp bạn thật,0
Cút đi,1
Cút khỏi đây luôn,1
Chúc bạn một ngày tốt lành!,0
Bạn cần hỗ trợ gì thêm không...,0
Xin chào bạn!,0
Chúng tôi sẽ xử lý ngay luôn,0
Đồ vô dụng đấy,1
Chúc bạn thành công đấy,0
Bạn cần hỗ trợ gì thêm không!,0
Cảm ơn bạn,0
Xin vui lòng chờ,0
Biến đi thật,1
Tao ghét mày quá,1
Xin lỗi vì sự bất tiện luôn,0
Bạn cần hỗ trợ gì thêm không...,0
Thằng ngốc!,1
Cảm ơn bạn quá,0
Rất vui được hỗ trợ luôn,0
Bạn cần hỗ trợ gì thêm không quá,0
Đồ vô dụng thật,1
Thằng ngốc thật,1
Chúc bạn thành công thật,0
Hy vọng bạn hài lòng...,0
Rất vui được hỗ trợ thật,0
Xin vui lòng chờ!!,0
Biến đi thật,1
Đồ ăn hại đấy,1
Chúc bạn thành công luôn,0
Đồ ăn hại,1
Rất vui được hỗ trợ thật,0
Biến đi!!,1
Chúc bạn thành công...,0
Xin chào bạn luôn,0
Cút khỏi đây luôn,1
Xin vui lòng chờ luôn,0
Chúc bạn cuối tuần vui vẻ,0
Chúng tôi sẽ xử lý ngay...,0
Tôi sẽ kiểm tra giúp bạn thật,0
Bạn cần hỗ trợ gì thêm không!!,0
Chúc bạn thành công...,0
Thằng ngốc,1
Cảm ơn bạn!!,0
Chúng tôi sẽ xử lý ngay!!,0
Rất hân hạnh phục vụ thật,0
Đồ vô dụng quá,1
Im mồm đi đấy,1
Rất vui được hỗ trợ đấy,0
Im mồm đi quá,1
Xin lỗi vì sự bất tiện!!,0
Thật kinh tởm...,1
Xin lỗi vì sự bất tiện thật,0
Im mồm đi thật,1
Thật đáng ghét luôn,1
Mày bị điên à luôn,1
Chúc bạn sức khỏe luôn,0
Xin chào bạn!,0
Im mồm đi đấy,1
Cảm ơn phản hồi của bạn...,0
Cảm ơn bạn quá,0
Chúng tôi sẽ xử lý ngay,0
Cảm ơn phản hồi của bạn...,0
Tao ghét mày quá,1
Tao ghét mày!!,1
Tôi sẽ kiểm tra giúp bạn đấy,0
Cút khỏi đây luôn,1
Cút đi đấy,1
Chúc bạn một ngày tốt lành,0
Xin chào bạn,0
Cảm ơn phản hồi của bạn đấy,0
Hy vọng bạn hài lòng!,0
Đồ khốn,1
Tôi sẽ kiểm tra giúp bạn luôn,0
Im mồm đi thật,1
Tao ghét mày!,1
Cút đi thật,1
Đồ ngu luôn,1
Rất hân hạnh phục vụ quá,0
Đồ mất dạy luôn,1
Rất hân hạnh phục vụ...,0
Đồ mất dạy...,1
Cút đi quá,1
Cút đi đấy,1
Rất vui được hỗ trợ!!,0
Hy vọng bạn hài lòng!,0
Hy vọng bạn hài lòng,0
Im mồm đi,1
Bạn cần hỗ trợ gì thêm không luôn,0
Đồ vô dụng!,1
Đồ ăn hại,1
Đồ khốn luôn,1
Xin lỗi vì sự bất tiện,0
Biến đi,1
Biến đi quá,1
Chúc bạn một ngày tốt lành luôn,0
Mày bị điên à,1
Im mồm đi luôn,1
Xin vui lòng chờ!!,0
Mày thật vô dụng quá,1
Đồ ăn hại,1
Bạn cần hỗ trợ gì thêm không!!,0
Đồ ngu luôn,1
Đồ khốn quá,1
Thật kinh tởm luôn,1
Chúc bạn sức khỏe!!,0
Chúc bạn thành công quá,0
Đồ vô dụng luôn,1
Rất hân hạnh phục vụ quá,0
Bạn cần hỗ trợ gì thêm không đấy,0
Chúng tôi sẽ xử lý ngay...,0
Đồ ngu luôn,1
Biến đi,1
Thật kinh tởm quá,1
Thật kinh tởm quá,1
Hy vọng bạn hài lòng!!,0
Rất hân hạnh phục vụ luôn,0
Xin lỗi vì sự bất tiện quá,0
Xin lỗi vì sự bất tiện đấy,0
Thằng ngốc đấy,1
Đồ mất dạy đấy,1
Xin vui lòng chờ!!,0
Đồ khốn đấy,1
Bạn cần hỗ trợ gì thêm không thật,0
Đồ ngu!,1
Xin lỗi vì sự bất tiện luôn,0
Đồ vô dụng...,1
Hy vọng bạn hài lòng luôn,0
Cút khỏi đây!,1
Im mồm đi!!,1
Cút đi!!,1
Chúng tôi sẽ xử lý ngay luôn,0
Đồ khốn,1
Hy vọng bạn hài lòng...,0
Rất hân hạnh phục vụ!,0
Đồ mất dạy!,1
Chúc bạn cuối tuần vui vẻ...,0
Xin lỗi vì sự bất tiện!!,0
Đồ ăn hại!,1
Rất vui được hỗ trợ!,0
Xin vui lòng chờ...,0
Thật đáng ghét luôn,1
Tôi hiểu vấn đề của bạn thật,0
Đồ khốn!!,1
Tôi sẽ kiểm tra giúp bạn!,0
Xin lỗi vì sự bất tiện đấy,0
Xin chào bạn!!,0
Cảm ơn phản hồi của bạn luôn,0
Biến đi quá,1
Tao ghét mày!,1
Cút đi đấy,1
Cút khỏi đây...,1
Mày ngu như bò,1
Bạn cần hỗ trợ gì thêm không!,0
Rất hân hạnh phục vụ đấy,0
Biến đi,1
Mày thật vô dụng đấy,1
Thằng ngốc...,1
Cảm ơn phản hồi của bạn luôn,0
Thằng ngốc!,1
Cảm ơn phản hồi của bạn...,0
Tôi hiểu vấn đề của bạn thật,0
Chúc bạn cuối tuần vui vẻ!,0
Thật đáng ghét thật,1
Mày thật vô dụng thật,1
Thật đáng ghét...,1
Cút khỏi đây!!,1
Cảm ơn phản hồi của bạn!!,0
Đồ khốn luôn,1
Tôi sẽ kiểm tra giúp bạn đấy,0
Chúc bạn một ngày tốt lành đấy,0
Chúc bạn một ngày tốt lành!,0
Xin chào bạn!!,0
Chúng tôi sẽ xử lý ngay luôn,0
Mày ngu như bò,1
Rất vui được hỗ trợ...,0
Cút khỏi đây quá,1
Cảm ơn bạn,0
Xin lỗi vì sự bất tiện quá,0
Thật đáng ghét,1
Chúng tôi sẽ xử lý ngay!!,0
Tôi sẽ kiểm tra giúp bạn luôn,0
