info_path,purpose,criterion,local_name,source_type,dataset_id,repo_id,repo_url,status,description
data\raw\needs_relabel\05_problem_resolution\customer_support_on_twitter_conversation_hf\dataset_info.json,needs_relabel,resolution,customer_support_on_twitter_conversation_hf,huggingface,TNE-AI/customer-support-on-twitter-conversation,,,success,"Customer support conversation, cần gán nhãn lại cho resolution/empathy/politeness."
data\raw\needs_relabel\05_problem_resolution\customer_support_on_twitter_kaggle\dataset_info.json,needs_relabel,resolution,customer_support_on_twitter_kaggle,manual,,,,manual_download_required,
data\raw\needs_relabel\05_problem_resolution\custom_vietnamese_cskh_conversations\dataset_info.json,needs_relabel,resolution,custom_vietnamese_cskh_conversations,manual,,,,manual_download_required,
data\raw\needs_relabel\05_problem_resolution\multiwoz_v22\dataset_info.json,needs_relabel,resolution,multiwoz_v22,huggingface,pfb30/multi_woz_v22,,,failed,"Task-oriented dialogue, cần gán nhãn lại cho problem resolution."
data\raw\needs_relabel\05_problem_resolution\tweetsumm\dataset_info.json,needs_relabel,resolution,tweetsumm,github,,,https://github.com/guyfe/Tweetsumm.git,success,"TweetSumm customer support dialogues, cần gán nhãn lại theo 5 tiêu chí."
data\raw\needs_relabel\05_problem_resolution\vietnamese_customer_support_qa\dataset_info.json,needs_relabel,resolution,vietnamese_customer_support_qa,huggingface,ura-hcmut/Vietnamese-Customer-Support-QA,,,failed,"QA hỗ trợ khách hàng tiếng Việt, cần gán nhãn lại theo 5 tiêu chí."
data\raw\main_train\04_negative_attack_toxicity\victsd\dataset_info.json,main_train,toxicity,victsd,huggingface,tarudesu/ViCTSD,,,success,"ViCTSD tiếng Việt, dùng cho toxic/constructive speech detection."
data\raw\main_train\04_negative_attack_toxicity\vihsd\dataset_info.json,main_train,toxicity,vihsd,huggingface,uitnlp/vihsd,,,failed,"ViHSD tiếng Việt, nhãn CLEAN/OFFENSIVE/HATE, dùng train toxicity."
data\raw\main_train\01_sentiment_overall\uit_vsfc_tridm\dataset_info.json,main_train,sentiment,uit_vsfc_tridm,huggingface,tridm/UIT-VSFC,,,success,"UIT-VSFC tiếng Việt, có nhãn sentiment, dùng train/bổ sung sentiment."
data\raw\main_train\01_sentiment_overall\vietnamese_sentiment_analysis\dataset_info.json,main_train,sentiment,vietnamese_sentiment_analysis,huggingface,anotherpolarbear/vietnamese-sentiment-analysis,,,success,"Dataset tiếng Việt cho sentiment analysis, dùng train tiêu chí cảm xúc tổng thể."
