text,label,sentiment
"Is it an ordered list? Ie, will the cells appear in the order of the indicies, or no?",2,Polite
"In the bike lane, obviously. What're they gonna do?",2,Polite
What version of bash are you using? Is it 4.x or 3.x?,2,Polite
There are many factors that influence the layout and size of an ImageView. Are you able to share the layout file?,2,Polite
I'm afraid I don't know what you mean Arcayne. What comment?,2,Polite
Well? What do you think?,1,Neutral
"""I + have"" = proper agreement; ""she + is"" = agreement; ""she + would"" = agreement.  Am I missing something?",1,Neutral
What if you attach the MDF file to SQL Server Express and inspect it using SQL Server Mgmt Studio Express?? Do you see anything??,1,Neutral
And wasting our time as well. I can only repeat: why don't you do constructive work by adding contents about your beloved Makedonia?,0,Impolite
"I'm happy to help!  After all, what's the point of acquiring knowledge about a process if I don't use that knowledge to help others?",2,Polite
Great.  Any reason why SCIRS is still an essay and not a content guideline?,0,Impolite
"I notice that you're adding <person> to places of histrical significance, but in some cases they are not listed on the <url>.  Are you trying to follow the list, or expanding it to places that perhaps should be on the list?",1,Neutral
"Thanks, but I believe I've covered the sustance. Could you also get Beeblebrox to strike the ""Mr"" insult, unless he was doing it deliberately?",0,Impolite
"Hmm, I'm not sure...maybe you need to clear your cache? Or did you create the new username first, before asking me to change your old one?",1,Neutral
"I noticed you put ""NB"" and then the credit for the original picture that I cropped. What does ""NB"" stand for?",1,Neutral
I don't understand the reason for <url>. Would you please explain it to me?,2,Polite
I guess you could have mis-typed the name of the textbox control. Is it TextBox1? :),2,Polite
"Thanks for the advice. Quick question, is the efficiency gain in both the where and sum methods?",2,Polite
How are you accessing the image?  Loaded via Request?,2,Polite
Such as the redundant link to ''Roe v. Wade''? Not an improvement?,0,Impolite
Do you know any of your classmates? Maybe ask one of them? :),1,Neutral
"@Monish If you don't know how to implement modes of operation, you shouldn't be implementing your own crypto code. Why not use an existing library, like KeyCzar?",0,Impolite
"Do you always start from 0,0 (or the bottom-left-most point)?  Or can you start from any point?",2,Polite
"Stephan, what did you mean by ''""Is English your native language? You seem to fill in a lot of things not said with your assumptions.""'' on my talk?",0,Impolite
"Yes, we can. But should we?",1,Neutral
"Why not keep the numbers in memory? Should be what, 100 MBytes?",0,Impolite
Inch es gartsum? <url>...do you have email by the way?,1,Neutral
How r u doing? what are u upto these days?...what are your current contribs?,1,Neutral
"For one phonological citation I need an uppercase ""I"", as in ""Italy"", with _serifs_ to distinguish it from lowercase L.  You advised ""The Classic skin uses a serifed font, if you can accept a personal solution.""  I'm sorry, I don't catch your meaning.  Where do I find the Classic skin, what is a personal solution, and why wouldn't I accept it?",0,Impolite
"Do the squares have to be the same size? Do they have to be axis-aligned (i.e., have the same orientation as the rectangle)?",2,Polite
I notice that you added a period to the middle of a sentence in the article about <url>. Why?,0,Impolite
Thank you for semiprotecting that page.  Why is it that everyone seems to vandalize one page at the same time?,1,Neutral
"<url> is one of the three fundamental Wikipedia content policies; why is it a ""shame"" you have to follow it? What did you mean by ""people like you""?",0,Impolite
I based my sentence on the citation. Are you saying the citation is wrong?,0,Impolite
"'''<url>'''Please also answer the questions at paragraph '''<url>''' above, as you are looking like a classic bully admin who abuses his powers and should be stripped of that role.  Is there any review process in wikipedia, for proposing that you be stripped of your admin powers for bullyism?",0,Impolite
"Also, what time are you synchronising? And why?",0,Impolite
You've been asking the ''sensible'' sysops...!?,0,Impolite
"""I've simply been told before that itsa flow of electrons, but this seems to basic and does show that electricity is instant."" Why would this mean that electricity is ""instantaneous"" ?",0,Impolite
"Agian, wishful thinking is one thing, fantasyland, now back to reality, Can you provide me ONE journal, ONE book that mentioned the term ""palestinians"" before 1960's??? Why not?",0,Impolite
Very nice. How could I doubt you?,2,Polite
"Would it be a better question if it were ""Why are Perl threads so $#@$&!*@# slow compared to other languages?""",0,Impolite
